cvss,exposure,asset_criticality,service_type_encoded,exploitability,attack_path_position,historical_incidents,confidence,priority_class,scenario
7.34,15.58,6.4,3.0,9.28,0.0,14,39.5,3,A
9.11,7.75,6.7,4.0,7.14,0.0,11,57.0,3,A
7.56,16.61,7.68,1.0,9.79,6.0,6,29.2,3,A
9.78,16.67,2.72,5.0,9.51,10.0,1,76.9,3,A
7.01,17.94,5.12,3.0,9.21,10.0,15,52.9,3,A
9.08,16.94,5.35,1.0,7.52,0.0,5,92.5,3,A
9.94,13.49,6.46,3.0,9.75,0.0,13,88.7,3,A
8.81,19.31,9.73,4.0,9.66,10.0,13,17.7,3,A
7.6,14.33,8.75,3.0,8.87,6.0,6,93.9,3,A
8.51,18.5,2.19,2.0,9.08,6.0,5,97.6,3,A
9.02,15.45,6.06,4.0,9.68,10.0,13,94.6,3,A
7.16,17.1,8.27,4.0,7.17,6.0,4,7.4,3,A
7.61,4.06,3.58,4.0,8.62,6.0,9,84.7,2,A
7.71,2.95,8.81,3.0,9.35,10.0,12,87.2,3,A
9.9,13.63,9.34,0.0,7.16,10.0,10,95.9,3,A
9.27,12.79,8.03,1.0,8.64,10.0,11,83.8,3,A
7.56,14.77,2.74,5.0,7.52,10.0,2,98.4,3,A
7.02,1.77,3.51,4.0,8.4,0.0,8,20.3,2,A
8.47,18.64,6.37,5.0,8.72,6.0,9,64.4,3,A
8.25,14.45,5.73,5.0,8.61,0.0,5,54.5,3,A
9.99,17.78,6.97,1.0,9.47,10.0,15,32.9,3,A
9.88,13.71,5.01,0.0,9.05,6.0,7,63.3,3,A
9.73,16.13,2.02,5.0,9.47,6.0,0,73.8,3,A
8.54,10.67,5.38,2.0,9.84,0.0,10,66.9,3,A
9.59,15.69,5.8,1.0,8.27,0.0,6,25.0,3,A
9.24,16.75,8.91,1.0,7.46,6.0,2,46.3,3,A
8.72,1.72,1.66,4.0,7.68,6.0,2,28.9,2,A
8.6,9.57,4.64,5.0,8.92,10.0,3,42.0,3,A
7.87,15.17,1.41,0.0,9.06,10.0,3,39.0,3,A
7.47,15.54,4.94,0.0,7.66,10.0,15,67.8,3,A
9.87,16.15,5.91,0.0,7.03,10.0,11,18.7,3,A
7.91,1.79,6.15,3.0,9.24,10.0,2,57.0,2,A
8.85,8.84,6.81,5.0,7.76,0.0,7,20.3,0,A
8.93,16.19,8.67,1.0,7.22,10.0,14,93.6,3,A
9.01,2.87,7.53,0.0,7.7,6.0,4,36.4,0,A
9.08,18.1,3.86,3.0,7.46,10.0,9,63.6,3,A
9.14,7.01,4.85,1.0,8.92,6.0,7,28.4,3,A
9.32,3.55,7.6,3.0,8.46,0.0,11,49.0,3,A
7.79,12.53,8.58,2.0,9.66,0.0,6,18.3,3,A
9.31,17.95,8.65,3.0,7.64,0.0,12,82.2,3,A
8.18,11.33,9.99,5.0,9.67,10.0,11,78.6,3,A
8.99,6.53,5.18,2.0,9.54,10.0,0,42.7,3,A
9.21,15.39,2.26,4.0,8.45,6.0,4,58.8,3,A
8.55,15.47,3.09,2.0,9.37,6.0,6,27.2,3,A
9.5,9.64,1.42,4.0,7.79,10.0,8,35.8,3,A
8.55,8.16,4.41,0.0,8.13,0.0,2,90.3,2,A
8.51,7.71,8.81,0.0,7.42,0.0,0,50.8,2,A
8.98,10.78,3.53,3.0,8.24,6.0,3,19.9,3,A
7.07,10.15,5.31,1.0,7.13,10.0,13,20.3,2,A
7.77,3.56,5.61,4.0,7.54,6.0,5,19.0,2,A
9.84,11.71,1.17,2.0,7.65,10.0,9,67.9,3,A
8.87,17.48,2.54,2.0,8.53,0.0,5,62.1,3,A
7.4,7.51,5.08,2.0,7.05,10.0,12,26.8,2,A
9.7,10.58,4.78,3.0,8.8,10.0,15,14.1,3,A
9.69,3.23,5.34,4.0,9.32,10.0,0,62.3,3,A
9.37,8.99,8.87,1.0,8.14,10.0,15,45.8,3,A
8.43,18.25,8.53,3.0,7.7,0.0,8,45.4,3,A
8.73,17.66,4.68,1.0,7.35,0.0,0,72.4,3,A
8.95,4.9,8.24,2.0,7.76,10.0,13,15.1,3,A
8.66,7.95,3.48,2.0,8.67,0.0,13,76.7,2,A
9.21,11.54,3.28,5.0,9.56,10.0,12,37.7,3,A
9.36,5.37,8.05,2.0,9.4,10.0,12,14.5,3,A
9.47,14.43,2.45,4.0,8.42,10.0,2,5.5,3,A
9.79,2.22,3.0,3.0,8.2,10.0,12,8.6,2,A
8.32,14.52,6.38,1.0,7.61,10.0,15,82.9,3,A
8.85,10.84,2.75,5.0,9.02,6.0,7,53.5,3,A
9.01,1.01,2.42,1.0,8.22,0.0,11,79.1,2,A
8.04,15.0,1.62,2.0,9.45,0.0,11,32.0,2,A
8.52,4.7,9.37,4.0,8.68,10.0,13,29.8,3,A
9.08,18.99,8.23,3.0,9.9,10.0,8,88.2,0,A
8.45,5.62,4.06,1.0,7.77,6.0,0,69.8,2,A
8.55,19.89,7.09,1.0,7.03,6.0,11,35.0,3,A
8.43,2.77,7.06,0.0,8.06,10.0,5,12.2,2,A
7.7,19.0,7.15,0.0,7.73,6.0,6,52.4,3,A
7.36,4.85,3.25,0.0,7.24,10.0,3,19.8,2,A
8.86,1.13,8.71,0.0,8.48,10.0,11,85.6,3,A
9.25,10.33,9.86,0.0,7.38,10.0,7,31.6,3,A
8.37,10.09,5.87,5.0,7.36,10.0,5,42.4,3,A
8.08,14.1,1.11,5.0,9.59,0.0,10,60.2,2,A
8.27,5.51,5.24,1.0,8.26,6.0,15,39.8,2,A
9.44,8.61,5.06,4.0,9.16,0.0,7,98.0,3,A
9.42,17.27,2.76,2.0,7.53,6.0,15,75.2,3,A
7.9,17.97,6.68,4.0,8.69,10.0,15,35.0,3,A
8.35,2.88,2.47,3.0,8.0,6.0,3,29.2,2,A
9.6,11.59,8.29,4.0,9.89,0.0,11,44.1,3,A
9.02,13.35,5.85,3.0,8.46,10.0,10,32.0,3,A
8.92,2.49,6.52,0.0,9.79,6.0,5,95.9,3,A
7.94,11.86,8.64,4.0,8.96,10.0,7,20.4,3,A
9.24,13.25,3.44,1.0,8.56,6.0,11,87.0,3,A
7.63,4.49,1.21,1.0,8.19,0.0,2,67.9,2,A
7.31,17.7,5.94,0.0,8.85,0.0,2,42.7,3,A
7.39,17.82,3.78,3.0,9.52,0.0,4,32.0,2,A
8.65,7.78,9.24,1.0,7.41,10.0,8,49.4,3,A
8.57,12.23,5.11,3.0,8.92,6.0,13,88.3,3,A
7.78,10.15,3.04,5.0,7.91,0.0,13,34.2,2,A
9.84,15.41,2.23,4.0,8.43,0.0,15,55.8,3,A
8.24,16.16,6.37,3.0,8.68,6.0,6,57.1,3,A
8.27,14.58,6.81,3.0,7.72,10.0,2,26.0,3,A
7.56,14.01,3.56,2.0,7.21,0.0,13,81.8,2,A
7.96,13.1,6.56,3.0,7.46,10.0,6,64.2,3,A
7.7,19.47,3.54,1.0,7.45,6.0,0,46.6,3,A
7.99,8.98,8.07,2.0,9.53,0.0,1,40.3,2,A
9.45,15.74,1.64,0.0,9.48,0.0,8,23.3,3,A
7.6,14.58,4.46,1.0,9.21,0.0,1,28.5,2,A
7.48,19.66,5.26,5.0,9.18,10.0,10,34.7,3,A
9.59,10.9,3.28,1.0,7.65,0.0,1,23.9,2,A
9.37,9.25,1.14,0.0,7.03,0.0,12,60.5,2,A
7.47,14.12,7.2,0.0,7.27,10.0,7,78.2,3,A
9.1,19.42,7.84,4.0,9.37,0.0,4,38.8,3,A
9.2,7.02,6.03,5.0,7.06,6.0,14,38.0,3,A
8.63,3.56,9.09,0.0,8.47,10.0,9,46.6,3,A
7.21,7.61,7.59,3.0,7.47,6.0,5,84.0,2,A
9.65,11.29,5.09,1.0,8.86,6.0,5,53.1,3,A
7.57,5.54,7.49,4.0,9.05,10.0,12,56.2,3,A
7.13,6.38,4.69,3.0,9.81,0.0,2,14.1,2,A
8.97,4.84,5.37,3.0,8.58,10.0,12,59.2,3,A
8.97,1.93,2.99,3.0,9.79,0.0,6,6.2,2,A
9.38,13.14,4.25,3.0,7.17,10.0,11,89.6,3,A
7.3,1.77,1.63,1.0,7.69,6.0,3,94.7,2,A
9.24,11.0,3.24,0.0,9.3,10.0,13,22.0,3,A
8.65,9.72,6.99,5.0,8.51,10.0,5,20.8,3,A
9.53,19.97,4.99,1.0,8.24,10.0,10,34.9,3,A
8.08,14.79,6.48,5.0,8.36,6.0,8,25.3,3,A
7.02,1.66,3.56,3.0,9.95,0.0,9,17.8,2,A
7.28,1.41,8.4,5.0,8.38,0.0,4,31.2,2,A
8.71,7.97,6.24,2.0,8.71,0.0,2,82.1,0,A
8.79,14.75,8.14,0.0,7.9,10.0,3,83.4,3,A
8.25,8.25,8.02,0.0,9.6,0.0,13,36.8,3,A
7.91,17.14,9.36,3.0,7.12,10.0,1,65.1,3,A
9.91,7.21,7.28,5.0,9.26,10.0,12,69.0,3,A
8.43,5.22,3.61,0.0,9.24,10.0,2,17.6,2,A
8.44,2.62,5.52,0.0,7.59,6.0,4,17.4,2,A
7.8,4.73,6.54,2.0,8.29,10.0,2,28.4,2,A
8.03,2.7,7.05,1.0,8.97,6.0,10,38.1,2,A
7.13,7.64,8.39,4.0,9.45,0.0,14,64.2,2,A
9.85,3.96,7.56,2.0,9.78,6.0,7,75.3,3,A
9.22,14.18,2.0,4.0,7.64,10.0,6,7.2,3,A
8.13,5.91,5.35,0.0,9.72,10.0,0,18.4,2,A
8.39,4.24,3.56,5.0,9.84,0.0,1,63.7,2,A
7.88,6.15,8.67,2.0,9.65,6.0,0,87.1,3,A
7.56,8.23,9.79,3.0,8.5,6.0,2,35.0,3,A
8.18,14.54,1.36,3.0,7.47,6.0,15,34.0,2,A
9.44,7.75,3.72,3.0,8.88,6.0,8,98.0,3,A
8.03,16.48,1.27,5.0,8.18,0.0,4,31.6,2,A
8.25,8.26,9.65,5.0,8.72,6.0,7,64.4,3,A
8.74,18.28,3.96,5.0,9.05,0.0,4,24.6,3,A
8.97,6.87,7.35,4.0,8.69,0.0,4,17.8,0,A
9.18,11.59,9.54,0.0,9.3,6.0,4,35.2,3,A
7.46,6.76,7.71,0.0,7.56,0.0,8,65.5,2,A
8.79,15.49,6.51,5.0,7.69,0.0,7,58.9,3,A
7.55,14.07,5.29,1.0,8.16,6.0,11,62.4,3,A
9.85,4.67,1.29,2.0,7.67,10.0,8,6.4,2,A
9.06,15.4,1.6,0.0,9.6,0.0,15,98.6,3,A
8.83,15.75,6.47,0.0,9.23,10.0,12,73.4,3,A
9.48,13.19,7.34,1.0,7.13,0.0,14,15.4,3,A
7.57,8.52,7.62,2.0,8.32,6.0,1,54.0,2,A
8.39,6.43,2.5,2.0,8.94,0.0,4,92.3,2,A
8.18,3.15,8.01,1.0,7.97,0.0,4,71.1,2,A
7.97,12.22,7.41,3.0,8.95,10.0,8,48.2,3,A
7.26,14.65,2.11,1.0,9.12,10.0,11,47.7,0,A
9.74,10.72,9.55,4.0,8.7,10.0,5,41.2,3,A
7.93,4.08,2.3,1.0,9.31,6.0,9,9.9,2,A
7.04,4.43,9.09,5.0,8.49,6.0,8,5.3,2,A
8.36,1.11,8.94,2.0,8.33,10.0,15,60.9,3,A
7.15,5.65,5.93,5.0,7.44,10.0,6,58.0,2,A
9.76,3.76,1.29,2.0,7.15,6.0,10,62.3,2,A
9.9,4.07,3.56,3.0,9.25,6.0,5,71.5,3,A
9.28,2.77,3.69,5.0,9.53,0.0,2,41.0,2,A
9.09,3.56,7.25,2.0,8.84,0.0,6,55.1,0,A
8.28,19.61,5.76,4.0,9.54,6.0,9,73.8,3,A
8.48,19.91,4.18,5.0,7.54,10.0,15,58.5,3,A
9.21,6.52,2.74,3.0,7.62,10.0,3,49.2,0,A
8.92,8.87,4.0,3.0,9.07,6.0,0,65.6,3,A
8.02,6.85,5.56,0.0,9.17,10.0,10,5.6,2,A
9.75,16.81,2.75,4.0,9.39,10.0,15,92.6,3,A
9.35,3.95,5.15,3.0,8.24,10.0,14,90.1,3,A
7.62,10.9,6.08,3.0,9.06,6.0,0,57.7,0,A
8.71,3.84,8.57,4.0,8.17,10.0,5,40.6,3,A
8.24,15.86,3.77,0.0,8.49,0.0,8,72.4,3,A
9.35,16.76,3.72,5.0,9.33,0.0,11,21.6,3,A
9.2,1.47,5.34,2.0,8.57,6.0,15,23.1,2,A
7.62,17.56,8.4,5.0,7.11,6.0,4,69.3,3,A
8.0,10.92,1.04,2.0,9.67,0.0,2,70.3,2,A
7.96,13.52,3.81,1.0,7.58,6.0,6,34.7,0,A
7.05,15.68,7.04,3.0,8.87,10.0,3,20.0,3,A
8.72,11.31,5.94,0.0,7.51,6.0,9,94.6,3,A
7.32,7.44,4.99,5.0,7.16,6.0,1,49.7,2,A
8.85,14.39,9.02,3.0,7.94,0.0,14,70.6,3,A
8.7,13.75,5.8,2.0,7.28,10.0,14,76.8,3,A
9.84,9.66,7.16,2.0,7.43,10.0,7,49.2,3,A
8.36,7.91,2.65,3.0,7.09,6.0,10,36.4,2,A
8.52,10.09,8.61,5.0,8.22,10.0,4,38.1,3,A
2.09,3.49,2.3,2.0,4.63,0.0,3,68.8,1,B
1.88,1.29,4.35,4.0,8.52,0.0,13,57.0,1,B
3.2,3.99,2.38,1.0,1.61,0.0,4,84.3,1,B
3.44,2.48,4.39,5.0,0.49,0.0,1,10.8,1,B
0.83,4.11,1.93,3.0,8.56,0.0,1,60.5,0,B
0.94,1.4,3.98,1.0,5.29,0.0,5,71.6,0,B
3.89,3.76,3.41,4.0,7.28,0.0,2,68.8,1,B
2.16,3.07,8.01,5.0,9.55,0.0,1,72.9,1,B
0.88,3.68,6.8,5.0,8.74,0.0,9,74.5,1,B
0.94,1.09,1.02,3.0,9.04,0.0,3,97.8,0,B
3.78,4.52,8.03,3.0,1.19,0.0,8,55.6,1,B
3.47,4.36,4.47,1.0,7.12,0.0,6,13.8,1,B
1.89,1.26,4.63,5.0,5.94,0.0,10,43.8,1,B
3.86,2.11,2.69,3.0,7.38,0.0,7,9.9,1,B
2.25,1.48,4.45,5.0,9.9,0.0,14,26.4,1,B
2.53,2.32,8.62,1.0,8.88,0.0,3,52.8,1,B
2.48,3.08,2.39,5.0,0.06,0.0,3,71.4,0,B
2.39,1.76,2.68,0.0,1.16,0.0,4,34.7,0,B
2.19,2.7,1.82,3.0,4.79,0.0,2,93.9,1,B
1.55,3.4,2.87,4.0,9.7,0.0,14,19.3,1,B
3.03,3.59,7.77,0.0,5.49,0.0,13,85.3,1,B
2.76,4.99,9.38,2.0,6.39,0.0,0,82.9,1,B
2.64,4.65,7.93,0.0,6.53,0.0,6,22.9,1,B
2.1,4.47,5.37,0.0,4.62,0.0,10,33.2,1,B
2.94,3.24,3.89,4.0,3.33,0.0,12,14.6,1,B
1.34,3.97,3.13,1.0,4.63,0.0,13,40.6,0,B
0.99,4.44,2.63,3.0,8.86,0.0,6,79.9,1,B
3.7,1.93,7.41,5.0,1.9,0.0,12,91.0,1,B
1.58,4.79,8.57,2.0,5.15,0.0,13,17.7,1,B
2.71,3.81,7.24,3.0,3.93,0.0,14,40.7,1,B
1.51,4.33,1.08,3.0,7.18,0.0,2,50.7,0,B
1.76,1.41,7.13,5.0,5.44,0.0,5,50.5,1,B
1.22,5.28,9.02,0.0,8.35,0.0,11,22.6,1,B
2.65,2.22,6.71,2.0,0.83,0.0,6,90.0,1,B
1.41,2.99,2.0,1.0,3.04,0.0,7,11.9,0,B
2.82,3.3,7.41,4.0,4.91,0.0,13,59.5,1,B
2.33,5.1,4.93,1.0,8.33,0.0,0,51.1,1,B
2.12,1.61,2.61,4.0,8.67,0.0,2,12.2,1,B
2.24,5.88,7.22,0.0,5.03,0.0,7,54.8,1,B
2.79,5.35,4.52,2.0,1.29,0.0,2,91.8,1,B
3.34,5.96,7.62,3.0,1.03,0.0,13,57.8,1,B
2.03,4.66,3.89,3.0,2.83,0.0,0,45.4,1,B
0.59,3.25,1.18,4.0,2.71,0.0,9,85.2,0,B
1.74,4.97,4.58,0.0,7.83,0.0,2,76.7,1,B
2.24,3.52,3.98,2.0,5.7,0.0,3,31.8,1,B
1.4,4.13,4.82,5.0,4.79,0.0,8,26.1,1,B
3.14,5.51,3.6,3.0,7.97,0.0,14,63.7,1,B
0.57,4.83,6.95,3.0,8.36,0.0,1,79.2,1,B
3.72,3.9,4.15,5.0,6.24,0.0,14,35.4,1,B
2.48,3.51,6.01,1.0,3.03,0.0,0,73.8,1,B
1.4,4.27,8.84,0.0,8.91,0.0,10,16.4,1,B
3.77,1.46,3.4,4.0,1.72,0.0,1,46.9,1,B
1.8,3.24,6.37,4.0,5.27,0.0,2,65.8,1,B
0.95,3.08,9.34,3.0,5.91,0.0,4,76.9,1,B
1.6,5.68,2.35,2.0,9.94,0.0,11,61.5,1,B
3.04,5.14,3.2,1.0,1.84,0.0,2,66.6,1,B
1.2,3.75,4.43,0.0,9.21,0.0,7,54.8,1,B
1.51,5.68,3.06,3.0,2.39,0.0,2,26.9,0,B
1.24,1.05,2.12,1.0,0.41,0.0,10,32.5,0,B
1.9,1.62,6.14,4.0,9.13,0.0,15,10.5,1,B
0.79,3.63,9.35,2.0,7.31,0.0,11,59.1,1,B
2.68,5.2,1.25,1.0,0.96,0.0,15,26.6,1,B
3.88,2.21,4.18,2.0,3.75,0.0,13,94.8,1,B
1.23,2.92,5.22,0.0,8.81,0.0,1,76.9,1,B
3.63,5.66,9.79,1.0,1.64,0.0,2,84.3,1,B
2.18,1.88,6.87,5.0,5.54,0.0,5,43.4,1,B
2.46,4.18,8.1,0.0,8.35,0.0,9,44.3,1,B
3.06,5.34,9.09,5.0,2.27,0.0,12,88.0,1,B
3.79,2.8,5.78,0.0,6.08,0.0,9,14.6,1,B
3.98,1.8,5.16,1.0,4.42,0.0,0,62.2,1,B
2.31,2.88,1.22,4.0,3.03,0.0,5,15.4,0,B
0.82,2.22,9.63,3.0,1.51,0.0,6,63.9,1,B
1.58,1.06,1.84,1.0,8.28,0.0,15,34.4,0,B
3.86,4.46,8.43,0.0,0.01,0.0,2,33.3,1,B
3.66,1.61,6.97,2.0,2.79,0.0,6,44.2,1,B
0.65,1.4,6.5,1.0,4.56,0.0,10,54.5,0,B
3.04,4.04,4.0,5.0,6.11,0.0,12,31.2,1,B
0.72,3.07,5.06,1.0,4.29,0.0,3,66.4,0,B
1.86,1.88,4.64,1.0,8.34,0.0,11,61.3,1,B
2.1,4.77,2.05,5.0,7.63,0.0,0,9.5,1,B
0.93,1.3,9.04,2.0,1.41,0.0,9,72.6,1,B
2.77,2.17,3.04,3.0,8.34,0.0,8,66.8,1,B
3.5,2.58,5.23,5.0,0.11,0.0,6,23.0,1,B
3.01,2.51,1.17,1.0,2.82,0.0,12,52.8,1,B
1.77,4.95,3.68,5.0,1.33,0.0,11,26.2,0,B
2.25,4.73,5.02,4.0,6.79,0.0,8,51.7,1,B
2.54,3.09,6.76,5.0,2.94,0.0,0,53.5,1,B
2.7,2.1,1.89,2.0,1.73,0.0,11,52.3,1,B
2.99,5.49,4.14,0.0,8.79,0.0,2,69.7,1,B
3.43,1.23,8.04,3.0,5.25,0.0,10,21.2,1,B
2.61,4.57,6.1,3.0,0.83,0.0,8,13.5,1,B
2.49,5.82,6.63,3.0,6.96,0.0,13,84.6,1,B
1.02,1.09,9.96,2.0,5.13,0.0,12,61.6,1,B
3.51,4.1,2.47,4.0,5.88,0.0,14,55.2,1,B
2.76,2.52,1.24,1.0,5.47,0.0,9,20.3,1,B
3.6,3.68,4.74,3.0,2.48,0.0,8,86.5,1,B
1.47,5.88,5.9,1.0,3.82,0.0,11,14.0,1,B
0.84,1.64,6.68,1.0,7.0,0.0,9,93.4,1,B
3.96,5.21,5.11,0.0,9.76,0.0,14,88.0,0,B
1.05,2.44,1.31,4.0,5.44,0.0,13,37.4,0,B
3.75,3.92,5.81,2.0,3.27,0.0,0,70.2,1,B
0.81,2.07,4.85,4.0,4.93,0.0,12,67.4,0,B
0.5,3.1,1.55,4.0,7.01,0.0,14,88.2,0,B
2.86,1.19,6.32,0.0,0.73,0.0,2,35.0,1,B
1.63,3.11,6.98,1.0,2.93,0.0,9,45.9,1,B
0.96,4.67,6.21,3.0,3.4,0.0,8,13.5,1,B
3.17,5.42,1.3,3.0,2.4,0.0,4,87.7,1,B
0.89,2.51,5.61,5.0,0.99,0.0,1,80.6,0,B
0.56,4.66,2.68,0.0,1.25,0.0,13,74.9,0,B
2.82,3.2,4.76,5.0,1.35,0.0,7,81.7,1,B
2.19,1.39,5.73,0.0,5.19,0.0,8,43.8,1,B
3.9,2.15,1.16,3.0,0.03,0.0,10,97.7,1,B
2.88,4.7,3.49,2.0,8.03,0.0,3,29.3,1,B
0.78,4.39,5.46,2.0,7.35,0.0,1,75.9,1,B
1.5,4.84,6.37,4.0,3.07,0.0,7,38.8,1,B
0.66,4.02,2.28,4.0,0.06,0.0,12,96.3,0,B
1.57,5.25,3.38,0.0,8.83,0.0,4,77.6,1,B
1.02,3.81,7.12,5.0,6.4,0.0,6,73.3,1,B
0.61,5.45,2.58,2.0,3.14,0.0,1,43.8,0,B
2.99,5.53,3.93,3.0,9.47,0.0,2,95.5,1,B
3.25,5.65,3.78,2.0,6.11,0.0,4,38.3,1,B
0.57,3.27,2.52,0.0,3.41,0.0,1,60.6,0,B
3.6,2.75,5.9,3.0,4.59,0.0,10,45.0,1,B
0.65,4.68,1.04,3.0,6.46,0.0,14,47.3,0,B
3.04,4.3,3.49,2.0,0.11,0.0,11,91.2,1,B
3.13,5.23,7.62,5.0,8.36,0.0,5,47.7,1,B
1.22,1.27,1.43,5.0,8.82,0.0,15,21.6,0,B
2.27,2.99,6.71,3.0,8.31,0.0,10,85.1,1,B
1.67,3.72,9.44,0.0,4.95,0.0,12,58.0,1,B
0.78,1.71,6.81,4.0,5.22,0.0,11,97.2,1,B
2.36,1.57,3.34,4.0,8.06,0.0,11,94.3,1,B
2.73,3.89,6.36,3.0,6.41,0.0,10,9.4,1,B
3.67,5.13,7.53,4.0,1.84,0.0,9,64.3,1,B
1.17,4.79,8.68,2.0,0.37,0.0,6,65.8,1,B
3.36,4.3,6.2,5.0,4.57,0.0,4,58.8,1,B
1.83,5.05,4.99,5.0,6.71,0.0,0,88.1,1,B
1.0,4.12,5.6,5.0,3.55,0.0,5,80.2,1,B
2.84,5.45,1.89,0.0,1.39,0.0,8,37.6,1,B
3.65,1.83,2.14,2.0,1.11,0.0,12,10.0,1,B
3.23,1.92,1.41,2.0,5.02,0.0,7,92.1,1,B
3.43,5.58,4.96,4.0,3.46,0.0,11,75.1,1,B
2.38,4.39,8.65,3.0,1.45,0.0,14,55.0,1,B
2.05,1.04,2.48,5.0,3.34,0.0,10,86.0,1,B
2.71,3.07,7.19,3.0,6.01,0.0,5,68.5,1,B
2.98,4.84,7.13,4.0,7.46,0.0,7,43.8,1,B
3.33,5.25,1.61,5.0,4.06,0.0,3,50.0,1,B
3.21,5.4,9.95,0.0,9.4,0.0,8,96.4,2,B
1.59,1.33,9.53,2.0,3.97,0.0,6,37.4,1,B
2.54,2.82,6.82,3.0,2.06,0.0,12,49.6,1,B
1.51,4.48,9.41,0.0,2.45,0.0,3,44.8,1,B
1.82,1.46,6.08,3.0,7.78,0.0,8,17.7,1,B
2.43,4.5,5.21,4.0,2.85,0.0,9,24.2,1,B
2.88,2.97,8.68,5.0,9.39,0.0,3,84.0,1,B
2.33,2.99,3.0,5.0,3.46,0.0,15,85.5,1,B
1.06,1.73,8.27,2.0,8.72,0.0,12,31.2,1,B
3.16,2.69,8.73,0.0,3.58,0.0,11,41.0,1,B
3.54,1.61,7.75,0.0,0.84,0.0,3,48.9,1,B
3.5,3.39,8.3,4.0,4.71,0.0,3,50.9,1,B
1.17,2.47,2.0,3.0,0.98,0.0,12,86.8,0,B
3.98,5.2,1.79,2.0,0.91,0.0,13,13.3,1,B
0.56,1.15,5.02,3.0,2.06,0.0,3,85.5,0,B
3.16,4.1,6.62,3.0,0.24,0.0,15,94.3,1,B
1.25,5.75,9.99,3.0,5.92,0.0,5,50.0,1,B
0.51,5.41,6.15,1.0,2.79,0.0,14,33.5,0,B
2.38,5.2,4.43,5.0,1.54,0.0,1,77.8,1,B
1.46,5.59,2.85,3.0,8.46,0.0,9,92.8,1,B
2.07,5.86,3.97,1.0,8.75,0.0,14,84.1,1,B
3.26,5.28,1.32,4.0,0.03,0.0,5,11.5,1,B
1.27,3.81,9.25,2.0,5.06,0.0,7,80.8,1,B
2.73,1.72,5.06,3.0,6.28,0.0,6,56.6,1,B
2.85,1.9,4.61,5.0,9.12,0.0,4,38.5,1,B
3.62,4.98,2.44,1.0,2.01,0.0,0,42.1,1,B
3.18,4.71,8.56,3.0,1.3,0.0,6,76.9,1,B
1.03,1.83,9.1,1.0,9.94,0.0,4,38.3,1,B
1.07,3.97,4.84,4.0,4.2,0.0,3,9.4,0,B
1.65,5.06,9.59,4.0,2.6,0.0,12,85.7,1,B
2.45,5.43,2.99,4.0,4.01,0.0,13,88.2,1,B
1.27,1.69,9.02,1.0,5.43,0.0,11,7.7,1,B
1.97,3.16,2.5,3.0,5.7,0.0,7,22.2,1,B
2.26,1.18,5.43,0.0,9.1,0.0,10,76.7,1,B
1.44,4.43,5.2,4.0,9.53,0.0,6,30.7,1,B
3.83,2.06,3.67,3.0,3.49,0.0,11,22.0,1,B
2.67,2.58,1.1,2.0,9.68,0.0,2,80.9,1,B
3.11,5.68,8.44,3.0,7.62,0.0,13,59.6,1,B
3.98,5.62,2.54,5.0,4.92,0.0,5,41.0,1,B
3.67,5.13,2.87,1.0,8.48,0.0,15,94.3,1,B
3.32,4.73,1.71,3.0,7.79,0.0,6,59.3,1,B
2.7,4.63,6.04,3.0,6.18,0.0,11,62.1,1,B
3.65,1.97,1.74,3.0,5.77,0.0,12,62.8,1,B
1.06,4.19,8.73,4.0,4.88,0.0,3,13.9,1,B
3.81,2.59,8.92,0.0,4.67,0.0,10,13.4,1,B
2.6,3.69,1.09,1.0,9.99,0.0,2,64.9,1,B
1.58,2.75,8.41,5.0,6.07,0.0,3,52.3,1,B
2.31,4.2,9.35,2.0,9.36,0.0,8,42.8,1,B
0.51,5.61,1.33,4.0,9.77,0.0,14,74.6,1,B
0.98,5.94,9.83,3.0,4.38,0.0,3,21.8,1,B
0.5,3.23,2.41,4.0,8.36,0.0,12,32.6,0,B
2.93,3.62,5.47,3.0,5.34,0.0,15,14.3,1,B
3.57,2.63,2.72,5.0,0.83,0.0,15,58.8,1,B
3.46,4.59,3.61,5.0,7.13,0.0,4,60.6,1,B
3.63,2.52,3.82,3.0,8.43,0.0,1,33.4,1,B
3.0,1.54,6.13,0.0,0.83,0.0,0,9.6,1,B
1.04,3.43,6.41,1.0,5.83,0.0,2,62.9,1,B
2.16,1.27,4.08,5.0,8.44,0.0,8,24.6,1,B
2.09,2.79,7.24,4.0,9.59,0.0,10,33.7,1,B
1.43,4.85,8.69,3.0,9.98,0.0,1,21.5,1,B
1.44,1.94,5.98,1.0,7.0,0.0,1,91.9,1,B
2.0,2.27,6.66,3.0,4.33,0.0,12,8.2,1,B
2.76,1.75,5.22,2.0,7.66,0.0,12,37.2,1,B
2.74,5.03,3.45,2.0,7.64,0.0,3,81.1,1,B
3.74,4.05,2.88,4.0,6.62,0.0,9,99.0,1,B
1.38,4.76,3.87,5.0,6.85,0.0,7,72.5,1,B
1.64,5.22,3.76,4.0,4.91,0.0,14,78.9,1,B
3.24,2.66,9.18,3.0,0.53,0.0,9,62.2,1,B
3.01,5.03,5.06,1.0,2.93,0.0,10,15.5,1,B
2.67,2.84,3.09,4.0,1.03,0.0,3,80.5,1,B
3.14,2.16,3.82,1.0,5.91,0.0,9,10.5,1,B
3.7,3.94,4.42,3.0,2.91,0.0,4,99.2,1,B
